Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Primed 1	LFQ intensity Primed 2	LFQ intensity Primed 3	LFQ intensity Primed+PRC2i 1	LFQ intensity Primed+PRC2i 2	LFQ intensity Primed+PRC2i 3	log2 fold change	p-value
B4DF30;Q9UP95;I3L4N6;Q6XSF4;B3KUS0;Q5HYC7;H0YMQ9	B4DF30;Q9UP95;I3L4N6	Solute carrier family 12 member 4	SLC12A4	23.94297	24.15244	23.08821	23.85766	23.819	24.0005	-0.164511363	0.190826229
B4DF62;B4DS22;A0A024R8Y1;Q9P215	B4DF62;B4DS22;A0A024R8Y1;Q9P215	Pogo transposable element with KRAB domain	POGK	23.25724	23.3573	23.54557	23.32347	23.59605	23.52993	-0.096449534	0.338198491
B4DFE2;A8K5V5;Q96QT6;C9J9G2;Q0VAI6;K7EPF7;K7EJN7;K7ERZ4	B4DFE2;A8K5V5;Q96QT6;C9J9G2;Q0VAI6	PHD finger protein 12	PHF12	24.99162	24.59138	23.94976	25.06122	24.46663	24.24685	-0.080646515	0.072706634
B4DFJ1;Q9BSI4;H0YKG7;Q86TZ8;H0YKA6;H0YLC9;H0YL20;H0YMN3	B4DFJ1;Q9BSI4;H0YKG7	TERF1-interacting nuclear factor 2	TINF2	23.77605	23.63964	23.65108	24.27583	23.80784	23.8931	-0.303329468	0.943488252
B4DFY5;A4QPA9;Q02750;H3BRW9	B4DFY5;A4QPA9;Q02750	Dual specificity mitogen-activated protein kinase kinase 1	MAP2K1	28.57841	29.05489	28.67842	28.61747	28.88472	28.6813	0.042742411	0.091816833
B4DG42;A0A024R4N0;Q96S97;C9JJV6;C9JZL8;C9J5M0;C9JC07	B4DG42;A0A024R4N0;Q96S97;C9JJV6;C9JZL8;C9J5M0;C9JC07	Myeloid-associated differentiation marker	hCG_1640809;MYADM	23.59923	23.9276	23.83653	23.63201	23.96279	24.21312	-0.148183187	0.310728021
B4DG59;B4DKC2;A0A024RDD7;Q7L099;D6RCQ1;D6REM9	B4DG59;B4DKC2;A0A024RDD7;Q7L099;D6RCQ1	Protein RUFY3	RUFY3	22.70448	23.07256	23.41777	22.49316	23.24294	22.75022	0.236160914	0.321467957
B4DG62;A8K7J7;A0A024QZK7;Q59FD4;B3KXY9;P19367;B3KRA9;B1AR63;B1AR62;B1AR61;B4E0J9	B4DG62;A8K7J7;A0A024QZK7;Q59FD4;B3KXY9;P19367;B3KRA9	Hexokinase;Hexokinase-1	HK1	28.67479	28.86151	29.09663	28.36878	28.5675	28.48984	0.40226682	1.389453021
B4DG82;Q4W5Q4;Q17RH5;Q9Y4G8;H0Y8N8;Q9UFT5	B4DG82;Q4W5Q4;Q17RH5;Q9Y4G8	Rap guanine nucleotide exchange factor 2	PDZGEF1;RAPGEF2	24.5899	24.27562	24.91607	24.42733	24.96107	24.96111	-0.189308167	0.299648259
B4DGC5;A0A087WWK8;Q6DN90;A0A0C4DGT3	B4DGC5;A0A087WWK8;Q6DN90;A0A0C4DGT3	IQ motif and SEC7 domain-containing protein 1	IQSEC1	23.80919	23.60399	23.16008	22.84326	23.42124	23.27327	0.345166524	0.597781055
B4DGE7;A0A024RA24;Q9NXC5;C9JUE6;C9JTV2;C9JAQ1	B4DGE7;A0A024RA24;Q9NXC5	WD repeat-containing protein mio	FLJ20323;MIOS	25.40734	25.87312	26.1612	25.22568	25.67761	25.82065	0.239237467	0.350383211
B4DGF8;Q8N684;F5H6M0;F5H047;J3QT54;C9J286;C9J323;C9JM38;F5H5B7;F5H1W4;F5H2K8;F5H6P5;F5H6A8;F5GXA3	B4DGF8;Q8N684;F5H6M0;F5H047	Cleavage and polyadenylation specificity factor subunit 7	CPSF7	29.80082	29.53999	29.43605	29.92578	29.60894	29.67088	-0.142910639	0.418357985
B4DGM3;A0A024R1S7;Q969G3;J3QKS7;K7EMQ8;H7C048;J3QR61;C0IMW8;J3KT85;J3QKX6;J3KS99;J3QL66	B4DGM3;A0A024R1S7;Q969G3;J3QKS7;K7EMQ8	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	SMARCE1	30.03171	30.02749	29.77175	30.13602	30.05737	29.95864	-0.10702769	0.461873221
B4DGM5;Q96ST2;A0A1B0GW95;H7C0U1;B4DJ84	B4DGM5;Q96ST2;A0A1B0GW95	Protein IWS1 homolog	IWS1	28.60095	28.39677	28.6285	28.71957	28.66296	28.80199	-0.186100006	1.047112673
B4DGP7;V9GYY5;A0A024R1M6;Q9UGY1;B3KQ09	B4DGP7;V9GYY5;A0A024R1M6;Q9UGY1;B3KQ09	Nucleolar protein 12	MGC3731;NOL12	25.94577	26.18733	25.23601	25.83661	26.05155	25.78222	-0.100421906	0.123578054
B4DGQ2;A0A090HNM7;A0A1W2PS85;Q59FZ7;R4GMW8;P28715;B4DSI5;B4E0X0	B4DGQ2;A0A090HNM7;A0A1W2PS85;Q59FZ7;R4GMW8;P28715;B4DSI5;B4E0X0	DNA repair protein complementing XP-G cells	ERCC5-201;BIVM-ERCC5;ERCC5	23.77304	24.11506	24.9653	24.46992	24.67826	24.51141	-0.268732071	0.303646666
B4DGV1;A0A087WZV0;O43314;D6RBU4;K7EPT7;D6RFG4;H0Y9M0	B4DGV1;A0A087WZV0;O43314	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2	24.64713	24.71764	24.76648	24.6151	24.77102	24.87131	-0.04205958	0.196661696
B4DH70;Q9UKB1;B2R8L3;E5RGC1	B4DH70;Q9UKB1	F-box/WD repeat-containing protein 11	FBXW11	23.55462	23.87343	23.73293	23.58623	23.56906	23.25839	0.249095917	0.818551654
B4DHE8;Q96DH6;B4DM51;J3QKT5	B4DHE8;Q96DH6;B4DM51	RNA-binding protein Musashi homolog 2	MSI2	26.79996	27.1831	26.98261	26.79934	26.72832	26.93112	0.168963114	0.602581408
B4DHI4;Q59H88;P53355;F8WCQ3;B7Z454	B4DHI4;Q59H88;P53355	Death-associated protein kinase 1	DAPK1	22.91559	23.54699	22.81654	22.67934	23.02754	23.11758	0.151550293	0.223360614
B4DHJ4;A2RU29;Q4VBZ9;Q14149;Q86YD6;H0YHQ4;H0YIR5	B4DHJ4;A2RU29;Q4VBZ9;Q14149	MORC family CW-type zinc finger protein 3	MORC3	28.28317	28.01196	27.845	28.25381	28.13217	28.21845	-0.154769897	0.511095667
B4DHK6;A0A024R069;A0A0A0MTL5;Q13309;D6R9R7;D6RAG5;H0Y9I9;D6RF40	B4DHK6;A0A024R069;A0A0A0MTL5;Q13309	S-phase kinase-associated protein 2	SKP2	25.76666	25.99671	25.8428	25.67212	25.87425	26.13903	-0.026408513	0.060574512
B4DHW9;Q9NVE7;A0A0G2JR38;E9PHT6;Q7RTX2;H0YA26;H0Y9E4;A0A0G2JQS7;D6RJF3;H0YA31;H0YA02	B4DHW9;Q9NVE7;A0A0G2JR38;E9PHT6;Q7RTX2;H0YA26	Pantothenate kinase 4	PANK4	24.54898	25.84656	25.67565	25.18128	25.64422	25.66123	-0.138510386	0.115319268
B4DI41;A8K654;Q9UIS9;A0A0A0MS90;B4DUR3;K7EN65;K7EPZ6;Q59EP6;K7EMA9	B4DI41;A8K654;Q9UIS9;A0A0A0MS90;B4DUR3;K7EN65;K7EPZ6	Methyl-CpG-binding domain protein 1	MBD1	27.13653	26.97454	26.41002	27.15653	27.04687	26.66397	-0.115428289	0.163198237
B4DI81;B4DN50;Q53FJ6;P17302;B4DMC9;B4DGM6;B4DN47	B4DI81;B4DN50;Q53FJ6;P17302;B4DMC9;B4DGM6;B4DN47	Gap junction protein;Gap junction alpha-1 protein	GJA1	25.08363	25.13061	25.29372	24.9322	24.82299	24.82182	0.310318629	1.872437497
B4DIN7;A0A024R711;O00308;B4DHF6	B4DIN7;A0A024R711;O00308;B4DHF6	E3 ubiquitin-protein ligase;NEDD4-like E3 ubiquitin-protein ligase WWP2	WWP2	23.82231	23.95553	23.97185	24.26664	23.48247	23.91196	0.029541016	0.043513662
B4DIQ0;O60942;B2R623;B4DSJ8;Q7Z3R6	B4DIQ0;O60942;B2R623;B4DSJ8	mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase	RNGTT	28.35527	27.98723	27.92999	28.39938	28.23055	28.28449	-0.213975906	0.684126744
B4DIS6;Q9H6R0;I3L1L6;Q9NPV4;Q05BE5;I3L0M5	B4DIS6;Q9H6R0;I3L1L6	Putative ATP-dependent RNA helicase DHX33	DHX33	28.21109	27.95992	27.57405	28.07786	27.7128	27.91667	0.012577057	0.019633105
B4DIZ6;A0A140VJQ3;Q96DE0;B4DLR9	B4DIZ6;A0A140VJQ3;Q96DE0	U8 snoRNA-decapping enzyme	NUDT16	22.06062	22.68556	23.76355	23.32361	23.49863	23.6371	-0.649869919	0.571844401
B4DJ39;O94842;O15405;B4DYA1;H6UKR8;B4DQV8;G8YXX4;Q96NM4;O94900	B4DJ39;O94842	TOX high mobility group box family member 4	TOX4	25.6184	25.3979	25.78094	25.68977	25.57528	25.67619	-0.047995249	0.153657756
B4DJ81;E5KRK5;P28331;Q9P1A0	B4DJ81;E5KRK5;P28331;Q9P1A0	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"	NDUFS1	22.98983	23.20389	23.47085	23.43318	22.8309	23.27654	0.04131635	0.063026687
B4DJL3;Q9BUE0	B4DJL3;Q9BUE0	Mediator of RNA polymerase II transcription subunit 18	MED18	25.19798	24.84427	25.27558	25.24191	25.34069	25.55424	-0.273001989	0.778794754
B4DJL6;Q96SY0;H3BRY6;B4DWZ3;H3BP17;H3BMK7;H3BN95	B4DJL6;Q96SY0;H3BRY6;B4DWZ3	von Willebrand factor A domain-containing protein 9	VWA9	27.24063	27.02083	27.2658	27.31475	27.19554	27.14598	-0.04300499	0.176355883
B4DJT9;A0A0A0MRG2;B4DQM1;E9PG40;A0A140VJC8;P05067;B4DGD0;H7C0V9;B4DM00;B4DMD5;H7C2L2;B7Z313	B4DJT9;A0A0A0MRG2;B4DQM1;E9PG40;A0A140VJC8;P05067;B4DGD0;H7C0V9;B4DM00;B4DMD5	Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31	APP	25.37232	26.06842	26.09303	25.3306	26.36788	26.2743	-0.146337509	0.132365099
B4DK25;B4E107;B2R7P0;F5GXE4;B4DR48;H0Y5C2;O95260;Q5SQQ1;B4DIK1;B3KWA3;A8K9E2	B4DK25;B4E107;B2R7P0;F5GXE4;B4DR48;H0Y5C2;O95260;Q5SQQ1;B4DIK1	Arginyl-tRNA--protein transferase 1	ATE1	24.12802	24.391	23.70049	24.38561	24.35373	24.05714	-0.192323685	0.352474965
B4DKQ5;O60784;B4DJ44;B0QY01;B3KUF5;B3KUU1;V9GYF4;B0QY02;Q6UW50;V9GZ68;F8WB30;F8WAW7;F8WE29;F8WBB0;H7BYN7	B4DKQ5;O60784;B4DJ44;B0QY01	Target of Myb protein 1	TOM1	24.30952	24.69312	25.07704	24.47042	25.01419	24.79159	-0.065502167	0.085362646
B4DKX4;B2R6E2;Q53EL6;Q5VZS7	B4DKX4;B2R6E2;Q53EL6	Programmed cell death protein 4	PDCD4	24.1474	24.25415	21.57648	24.54816	24.70625	24.44297	-1.239788055	0.636255737
B4DKZ2;B4DG22;B7ZB17;P51812;B1AXG1;B1AXG2;D6RA62;D6RE03;Q7Z2J3;Q7Z2J4	B4DKZ2;B4DG22;B7ZB17;P51812	Ribosomal protein S6 kinase alpha-3	RPS6KA3	24.18079	24.37312	22.93589	23.88334	25.03355	24.28228	-0.56979243	0.433553986
B4DL02;P29353;X6R6D0;Q5T181;Q5T182;H0Y539;Q59HB0;Q8NFT0;Q8NFT1;Q5T188;Q6S5L8	B4DL02;P29353;X6R6D0	SHC-transforming protein 1	SHC1	25.72562	25.84735	26.24862	26.11892	26.13991	25.9977	-0.144980113	0.369697447
B4DL66;Q9H832;D3DTW2;I3L286;I3L4C5;H0Y9X8;I3L3V3;D6RB11	B4DL66;Q9H832;D3DTW2	Ubiquitin-conjugating enzyme E2 Z	UBE2Z	24.88646	24.76951	25.09075	24.73903	24.90976	24.95256	0.048459371	0.159008418
B4DLB7;Q8IX15;U3KPW8;B4DX80	B4DLB7;Q8IX15;U3KPW8;B4DX80	Homeobox and leucine zipper protein Homez	HOMEZ	23.94673	24.161	23.96851	24.54215	24.43052	23.73593	-0.210786819	0.332577488
B4DLF0;P22223;J3QR60;J3QL41;J3QL75	B4DLF0;P22223	Cadherin-3	CDH3	26.58492	26.62993	26.14063	26.432	26.72585	26.59719	-0.133191427	0.305014589
B4DLG2;O75152;E9PQ61;E9PBY7;Q0D2N5;A0A1W2PPR9	B4DLG2;O75152;E9PQ61;E9PBY7;Q0D2N5	Zinc finger CCCH domain-containing protein 11A	ZC3H11A	29.53378	29.39642	29.2861	29.55996	29.43464	29.33977	-0.039353053	0.153292598
B4DLM8;O15381;B4DQJ4;E9PH71;A0JLP9;C9J6P7;C9JP83;E7EWK7;B4DF43;E9PGD8;Q96PA2;F8WF01;A0A087WV72	B4DLM8;O15381;B4DQJ4	Nuclear valosin-containing protein-like	NVL	29.25406	29.26738	28.75793	29.24844	29.07482	28.99642	-0.013436635	0.024511261
B4DLT9;Q9UPN7;Q96ID3;K7EM28	B4DLT9;Q9UPN7;Q96ID3	Serine/threonine-protein phosphatase 6 regulatory subunit 1	PPP6R1;SAPS1	23.38113	24.09547	23.25897	22.32818	23.64097	23.29768	0.489577611	0.446122705
B4DMD3;B4DY34;A0A024RAW9;Q9Y2W2;F5H5G4;F5GXS9	B4DMD3;B4DY34;A0A024RAW9;Q9Y2W2	WW domain-binding protein 11	WBP11	29.77447	29.42992	29.78011	29.70093	29.6215	29.69199	-0.009970983	0.028268207
B4DMI5;Q86X53;E5RHA3;H0YB25;H0YBT6;A0A024QZ54	B4DMI5;Q86X53;E5RHA3;H0YB25	Glutamate-rich protein 1	ERICH1	25.719	25.6142	25.40584	25.77097	25.90284	26.03859	-0.324451447	1.266903623
B4DMI6;A0A024R8U4;Q5MNZ6;I3L4S6;I3L4L8;I3L3A5;I3L1D0	B4DMI6;A0A024R8U4;Q5MNZ6;I3L4S6	WD repeat domain phosphoinositide-interacting protein 3	WDR45L;WDR45B	25.62759	25.7252	25.65403	25.52943	25.11052	25.85346	0.171141307	0.323810756
B4DMT5;B3KSH1;O00303;B4DEW9;A0A0D9SEZ9;Q9BX72;H0YDT6;E9PQV8;A0A1W2PP79	B4DMT5;B3KSH1;O00303;B4DEW9	Eukaryotic translation initiation factor 3 subunit F	EIF3F	28.29837	28.99018	29.5736	28.05972	28.91576	29.29108	0.198534648	0.14196805
B4DN80	B4DN80	Peptidyl-prolyl cis-trans isomerase		27.02538	27.32663	26.89851	26.72104	27.80403	27.16154	-0.145361582	0.160997677
B4DNM0;Q8WVC0	B4DNM0;Q8WVC0	RNA polymerase-associated protein LEO1	LEO1	27.35859	27.09567	27.30965	27.72136	27.48016	27.36986	-0.269159953	0.958366723
B4DNN4;P23921;B4E0I8;Q53GZ5;B4DS95;E9PL69;B4DXB0;B4DXD1;E9PP77;H0YCY7	B4DNN4;P23921;B4E0I8;Q53GZ5;B4DS95;E9PL69;B4DXB0;B4DXD1	Ribonucleoside-diphosphate reductase;Ribonucleoside-diphosphate reductase large subunit	RRM1	26.95848	27.62735	27.72754	26.7483	27.64327	27.35909	0.187572479	0.202198671
B4DP27;Q6FHT8;Q15363;F5GX39;B4E020;E7EQ72	B4DP27;Q6FHT8;Q15363;F5GX39;B4E020;E7EQ72	Transmembrane emp24 domain-containing protein 2	RNP24;TMED2	24.30508	24.73459	25.42758	24.07088	24.79318	25.55289	0.016770681	0.010261985
B4DP95;O14920;Q59GL9;B4E0A7;B3KRB7;G3V105;A8K4I7;E5RGW5;Q32ND9	B4DP95;O14920;Q59GL9;B4E0A7;B3KRB7;G3V105;A8K4I7;E5RGW5;Q32ND9	Inhibitor of nuclear factor kappa-B kinase subunit beta	IKBKB	23.54663	23.43911	23.80912	24.14635	23.6329	23.48959	-0.157995224	0.279120466
B4DPC0;Q9BSL6	B4DPC0			26.10199	26.36172	26.29868	26.32279	26.44058	26.2651	-0.088693619	0.400591377
B4DPV7;E9PLP0	B4DPV7			27.85549	28.12908	28.48984	27.5479	27.90311	28.2795	0.247965495	0.370837239
B4DPW9;P13797;Q53GY0;A0A0A0MSQ0;Q96HI1;B4DG31;B4DI60;U3KQI3;B4DPU6;A7E2S2;H7C4N2;F2Z2Z9	B4DPW9;P13797;Q53GY0;A0A0A0MSQ0;Q96HI1	Plastin-3	PLS3	29.32423	29.73151	29.60276	29.3267	29.69363	29.79261	-0.05147934	0.099369814
B4DPZ5;B4DNU9;Q6NZI2;B3KRY5	B4DPZ5;B4DNU9;Q6NZI2;B3KRY5	Polymerase I and transcript release factor	PTRF	23.95145	23.23105	23.45149	22.97153	23.54898	23.6202	0.16442426	0.216001033
B4DQE4;F1D8R3;P10588;B6ZGU2;M0R175	B4DQE4;F1D8R3;P10588;B6ZGU2	Nuclear receptor subfamily 2 group F member 6	NR2F6	25.60462	25.7542	24.93885	25.90944	25.73425	25.281	-0.209011078	0.267108456
B4DQK1;A0A024R2E9;B3KQM6;O95352;B2RB57;H7C369;H7C2R3;H7BZ92;H7C2J8;C9JFF4	B4DQK1;A0A024R2E9;B3KQM6;O95352;B2RB57	Ubiquitin-like modifier-activating enzyme ATG7	ATG7	23.73779	24.05623	23.9743	23.46812	24.3181	23.94673	0.011788686	0.014793744
B4DR67;Q9HC03;Q9Y673	B4DR67;Q9HC03;Q9Y673	Dolichyl-phosphate beta-glucosyltransferase	ALG5	23.99688	24.07161	23.82522	22.7545	24.15414	24.09434	0.29691124	0.254932115
B4DR80;Q6P0Y1;Q5U0E6;B4DT57;Q9Y6E0;B4DMR0;Q6FG81;H0Y630;Q5JV98;Q5JV99	B4DR80;Q6P0Y1;Q5U0E6;B4DT57;Q9Y6E0;B4DMR0;Q6FG81;H0Y630	Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 36 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit	STK24;HEL-S-95	25.7619	25.78843	25.93062	25.58492	25.78454	25.76729	0.11473465	0.625001407
B4DRF3;Q9BVW5;H3BU04;H3BTH1	B4DRF3;Q9BVW5;H3BU04;H3BTH1	TIMELESS-interacting protein	TIPIN	23.87923	24.93603	24.4771	24.02614	24.49155	24.37789	0.132260005	0.146101583
B4DRU9;A0A0S2Z5L1;Q9NUQ8;A0A0S2Z645;F8WCU6;B4DRH5	B4DRU9;A0A0S2Z5L1;Q9NUQ8	ATP-binding cassette sub-family F member 3	ABCF3	25.58167	25.99023	25.54796	25.31167	25.52534	25.33306	0.316593806	0.939862611
B4DRW6;B2RB32;A0A0M4FEM1;P11217;B4DRQ4	B4DRW6;B2RB32;A0A0M4FEM1;P11217;B4DRQ4	"Alpha-1,4 glucan phosphorylase;Glycogen phosphorylase, muscle form"	PYGM	26.33979	22.19954	23.27009	26.81775	26.34893	26.61583	-2.657697678	0.99874648
B4DRY5;A0A024R7F7;Q4LE60;O14787;A0A075B780;Q05D48;B3KPC8;K7ESC1;K7ESG1	B4DRY5;A0A024R7F7;Q4LE60;O14787;A0A075B780;Q05D48;B3KPC8	Transportin-2	TNPO2;TNPO2 variant protein	27.17579	27.05838	26.8055	26.86903	26.84458	26.52707	0.266329447	0.79276283
B4DT03;B4DY51;X5DNN3;X5D7G6;P0CG08;B7ZAQ6;X5D920;X5D2I6;A0A087WW82;U3KPV2;E9PKY3;X5D9J6;A0A087WW78	B4DT03;B4DY51;X5DNN3;X5D7G6;P0CG08;B7ZAQ6;X5D920;X5D2I6;A0A087WW82;U3KPV2;E9PKY3;X5D9J6	Golgi pH regulator B;Golgi pH regulator A	GPR89B;GPR89A	24.09535	24.76769	24.45851	24.04585	24.24118	24.3291	0.23514239	0.483242862
B4DT77;B4DWU2;B4DHY4;Q53HM8;B2R657;P20073;B2R7L2	B4DT77;B4DWU2;B4DHY4;Q53HM8;B2R657;P20073;B2R7L2	Annexin;Annexin A7	ANXA7	28.05222	27.9486	28.07633	27.99232	28.20997	28.36674	-0.163960775	0.641182049
B4DTA9;A8K5C2;D3DUL8;Q6P9B6;B4DM09;H3BUB0;H3BM75	B4DTA9;A8K5C2;D3DUL8;Q6P9B6	TLD domain-containing protein 1	KIAA1609;TLDC1	23.97902	24.40905	24.69578	23.88735	24.54887	23.884	0.254546483	0.347606479
B4DTB8;Q15036;B4DE48;B4DQ37;B4DLL7;B4DUG8;F8WAZ0;B7ZAQ8;B4DDM3;F8WFA0;F8WEG6	B4DTB8;Q15036;B4DE48;B4DQ37;B4DLL7	Sorting nexin-17	SNX17	24.2558	24.61678	23.98398	23.88558	24.48732	24.35448	0.043063482	0.057571423
B4DTF6;O43278;H3BVD9;B2RBU9;H3BR01;H3BMB6;H3BTQ8;H3BNW5;H3BSM2	B4DTF6;O43278;H3BVD9;B2RBU9;H3BR01;H3BMB6;H3BTQ8	Kunitz-type protease inhibitor 1	SPINT1	24.16768	24.09644	24.20665	24.23549	24.7758	24.40944	-0.31665802	0.909744072
B4DTL8;E9PGC0;B4DTX4;P20936;Q59GK3;Q7Z4M2;Q05CU5	B4DTL8;E9PGC0;B4DTX4;P20936;Q59GK3	Ras GTPase-activating protein 1	RASA1	25.7748	26.09396	26.10486	26.04997	25.86731	25.87397	0.060789108	0.187889413
B4DTN0;A0A024RDV3;P06400;Q59HH0;B4DRB3;Q6LE65;Q6LE79;P78495	B4DTN0;A0A024RDV3;P06400;Q59HH0;B4DRB3	Retinoblastoma-associated protein	RB1	25.65351	25.74286	25.62229	26.15457	26.44441	26.27526	-0.618523916	2.602527679
B4DTS2;Q9BZL6;Q8N2H2;B4E125;A0JLT6;M0R2Z8;M0QXC6	B4DTS2;Q9BZL6;Q8N2H2;B4E125	Serine/threonine-protein kinase;Serine/threonine-protein kinase D2;Protein kinase C	PRKD2	24.89407	25.6725	25.49845	25.08363	25.51836	25.18257	0.093484243	0.12686121
B4DTX5;Q6MZY5;A0A0U1RQI5;B4E264;B4DH45;B7Z9B7;S4R303	B4DTX5;Q6MZY5;A0A0U1RQI5;B4E264;B4DH45;B7Z9B7		DKFZp686N08224	25.95509	25.8769	25.95227	26.12943	26.29185	26.08434	-0.240454992	1.617689289
B4DU58;V9HW69;B2R9S4;P40121;E7ENU9;B8ZZL6;H7C0X8	B4DU58;V9HW69;B2R9S4;P40121;E7ENU9	Macrophage-capping protein	HEL-S-66;CAPG	27.11912	26.99593	27.478	27.59042	27.40129	27.56376	-0.320809046	0.961644639
B4DUC8;Q13126;A0A140CZL4;Q6FHT1;Q6FHP1;A0A140CZL5;Q05DJ2;J3QSB7;A0A140CZL6;F2Z2F3;Q8WV80;F8WES2;Q9NRK7;J3KRN1	B4DUC8;Q13126;A0A140CZL4;Q6FHT1;Q6FHP1;A0A140CZL5;Q05DJ2;J3QSB7;A0A140CZL6	S-methyl-5-thioadenosine phosphorylase;Purine nucleoside phosphorylase	MTAP	27.0055	27.10079	27.66567	27.37194	27.3441	27.52999	-0.158023834	0.299962637
B4DUD5;P33240;E7EWR4;B3V096;E9PID8;A0A0A0MT56	B4DUD5;P33240;E7EWR4;B3V096;E9PID8	Cleavage stimulation factor subunit 2	CSTF2	27.85591	27.56972	27.95449	27.88762	27.64458	27.88507	-0.012385686	0.029602954
B4DUQ1;Q5T6W2	B4DUQ1;Q5T6W2		HNRNPK	34.4635	34.37755	34.30164	34.49405	34.38876	34.37872	-0.039609273	0.265714489
B4DVJ0	B4DVJ0	Glucose-6-phosphate isomerase		29.57411	29.63855	30.36077	29.77035	29.61893	30.04557	0.046192169	0.056718239
B4DVQ5;A1KYQ7;A0A024QYU9;Q99613;B4DVU3;B4DDN4;B4DRU0;B5ME19;B4E2Z6;B3KNZ4;A0A024QYX7;Q3B7B9;H3BPE4;H3BPE3;H3BTY8	B4DVQ5;A1KYQ7;A0A024QYU9;Q99613;B4DVU3;B4DDN4;B4DRU0;B5ME19;B4E2Z6;B3KNZ4;A0A024QYX7	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	29.10754	29.97583	30.42182	29.05079	29.63255	30.11347	0.236126582	0.182350874
B4DVR4;O60504;Q9BT70;E5RJP2;H0YAZ3;H0YB51;E5RIA0	B4DVR4;O60504;Q9BT70;E5RJP2;H0YAZ3;H0YB51	Vinexin	SORBS3	25.80605	25.62411	25.98079	26.31207	25.69408	25.87975	-0.158320109	0.307201718
B4DW13;Q6YP21;A0A0A0MRN7;A0A0A0MRN6	B4DW13;Q6YP21;A0A0A0MRN7	Kynurenine--oxoglutarate transaminase 3	hCG_23341;CCBL2	24.94217	25.21078	25.30379	25.17634	25.24311	25.406	-0.122905731	0.407138039
B4DW31;Q9UHY1;F8W6G1;C9JHZ6	B4DW31;Q9UHY1;F8W6G1	Nuclear receptor-binding protein	NRBP1	25.52731	26.19704	25.85215	25.67074	26.08849	25.70139	0.038625081	0.056665641
B4DWB1;Q8WUV3;O60678;B4DP44;A0A0A0MSN7	B4DWB1;Q8WUV3;O60678;B4DP44;A0A0A0MSN7	Protein arginine N-methyltransferase 3	PRMT3	27.15228	27.2191	27.15054	27.14938	27.258	27.13868	-0.008045197	0.063132735
B4DWG1;B3KM47;Q9Y6Y8;B3KN10;A0A0C4DH82;H7C0V8	B4DWG1;B3KM47;Q9Y6Y8	SEC23-interacting protein	SEC23IP	27.33977	28.10584	28.27066	27.42998	27.97301	27.97372	0.113189697	0.121837266
B4DWN1;A8K7T4;Q12907;D6RBV2;D6RIU4;D6RDX1;D6RBH1	B4DWN1;A8K7T4;Q12907;D6RBV2;D6RIU4;D6RDX1	Vesicular integral-membrane protein VIP36	LMAN2	25.3887	25.98076	25.8687	25.34952	25.81934	25.7257	0.114536921	0.189306654
B4DWS6;Q53GQ0;D3DR22;A0A1B0GVY6	B4DWS6;Q53GQ0;D3DR22;A0A1B0GVY6	Very-long-chain 3-oxoacyl-CoA reductase	HSD17B12	27.36068	27.6679	27.72403	27.17331	27.68492	27.6147	0.093226751	0.181087826
B4DWZ7;Q9NS86;B3KTN5	B4DWZ7;Q9NS86;B3KTN5	LanC-like protein 2	LANCL2	26.54606	26.61316	26.60583	26.78967	26.64417	26.53822	-0.069003423	0.382126391
B4DX01;A8K8F0;Q9HC38;B3KV49;B7Z403;I3L3Q4;I3L1F4;I3L1I0;I3NI27;I3NI24;I3L2C2;I3L277	B4DX01;A8K8F0;Q9HC38;B3KV49;B7Z403;I3L3Q4	Glyoxalase domain-containing protein 4	GLOD4	26.09291	26.38251	26.55365	26.13596	26.16971	26.19255	0.17695109	0.582516464
B4DX96;A8K8A2;Q9Y5A6;G3V1M0;C9JHD9;G3V0F4;B3KQP7;Q8N506	B4DX96;A8K8A2;Q9Y5A6;G3V1M0;C9JHD9;G3V0F4;B3KQP7	Zinc finger and SCAN domain-containing protein 21	ZSCAN21	23.49118	23.08013	22.79842	23.5559	23.23805	23.10831	-0.177511215	0.298911313
B4DXG8;A5PLM5;Q06265;D6RIY6;D6R905;D6RA17;D6RAP4;H0Y9L5	B4DXG8;A5PLM5;Q06265;D6RIY6;D6R905;D6RA17	Exosome complex component RRP45	EXOSC9	28.11267	28.01308	27.99631	28.17431	28.01818	28.13462	-0.068353017	0.504332267
