Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Naive 1	LFQ intensity Naive 2	LFQ intensity Naive 3	LFQ intensity Primed 1	LFQ intensity Primed 2	LFQ intensity Primed 3	log2 fold change	p-value
A0A024R6D8;Q13243;Q59EK7;B4DJK0;B4DUA4;G3V5K8;B5BUD8;Q86U32	A0A024R6D8;Q13243;Q59EK7;B4DJK0;B4DUA4;G3V5K8	Serine/arginine-rich splicing factor 5	SFRS5;SRSF5	30.34297	30.28096	30.27853	29.48503	29.36108	28.98444	1.023972829	2.596982143
A0A024R6H0;Q9P2I0;B3KN45;B3KMI0;H0YJF4;G3V3T7	A0A024R6H0;Q9P2I0;B3KN45;B3KMI0	Cleavage and polyadenylation specificity factor subunit 2	CPSF2	30.79753	30.7624	30.90326	30.14151	30.01797	29.91114	0.797524134	3.268749231
A0A024R6I3;Q53GF9;P49755;B4DZH3;G3V2K7;B4DL12	A0A024R6I3;Q53GF9;P49755;B4DZH3;G3V2K7;B4DL12	Transmembrane emp24 domain-containing protein 10	TMED10	25.76572	26.00864	25.84259	26.30982	26.47819	27.2166	-0.79588445	1.297185588
A0A024R6K1;O75909;G3V5E1;G3V2Q3;G3V235	A0A024R6K1;O75909;G3V5E1;G3V2Q3	Cyclin-K	CCNK	29.16569	29.11875	29.39854	28.24445	27.92388	28.41183	1.03427124	2.458956328
A0A024R6K3;Q86TU7;Q6NXR6;C9K0W5	A0A024R6K3;Q86TU7;Q6NXR6	Histone-lysine N-methyltransferase setd3	SETD3	23.49826	24.02758	23.22093	25.45051	25.56066	25.99718	-2.087196986	2.70686571
A0A024R6M6;Q9UL15;A8K5J7;G3V274;A8CGI4	A0A024R6M6;Q9UL15;A8K5J7	BAG family molecular chaperone regulator 5	BAG5	27.14092	27.13741	27.04604	27.16231	27.14628	27.20546	-0.063222885	0.819369626
A0A024R6Q1;P55010;Q6IBU0;H0YLZ1;Q32Q19;Q05DF3;H0YN40;H0YMJ8;H0YM54;H0YK11;B4DEN3;H0YK29	A0A024R6Q1;P55010;Q6IBU0	Eukaryotic translation initiation factor 5	EIF5	26.61667	26.87303	26.38402	28.40673	28.82787	28.40491	-1.921934764	3.188969748
A0A024R6Q2;Q96FX7;Q96B39;H0Y2Q1	A0A024R6Q2;Q96FX7;Q96B39;H0Y2Q1	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A	C14orf172;TRMT61A	25.73112	26.04187	25.87232	24.07096	21.07429	25.13837	2.453900655	0.940935405
A0A024R6S1;O60884;T2DN57;T2DPK5;A0A087WT48;I3L320	A0A024R6S1;O60884;T2DN57	DnaJ homolog subfamily A member 2	DNAJA2	30.07686	29.71816	29.81071	29.12797	29.45256	29.0276	0.665867488	1.784746853
A0A024R6Z0;O43237;B4DHD8;J3KRI4;B4E2E0;J3KRZ2;Q63HJ8;J3KSD2;H3BUM4	A0A024R6Z0;O43237	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	24.68459	24.63544	24.58331	25.58035	25.76537	25.92615	-1.122842789	3.37787608
A0A024R6Z6;B4DYU2;Q96MW5;H3BQV3;H3BMQ9;J3QRV3;H3BSH5;A0A087X1T3	A0A024R6Z6;B4DYU2;Q96MW5;H3BQV3	Conserved oligomeric Golgi complex subunit 8	hCG_2027080;COG8	21.6766	25.01142	24.9376	25.12159	25.16166	25.52235	-1.39332962	0.558211517
A0A024R6Z7;Q9NX74;E7EUN9;B4DKP8;J3QLD5;I3L4Y9;I3L4H0;I3L0K0;H3BMK6;I3L1K5;H3BQX4;H3BM64;H3BRI6;H3BSF3;H3BTR3	A0A024R6Z7;Q9NX74;E7EUN9;B4DKP8;J3QLD5	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like	DUS2L;DUS2	25.05246	25.13222	24.89583	21.90712	24.45719	21.17251	2.514561971	1.18483848
A0A024R704;P78362;C9J2M4;C9JWF7	A0A024R704;P78362	SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal	SRPK2	25.74052	25.0662	25.58569	25.72117	26.07269	25.66213	-0.354525884	0.667548321
A0A024R705;Q9UN37;I3L4J1;Q9UF30;Q9NXK5;Q49AN7	A0A024R705;Q9UN37;I3L4J1;Q9UF30	Vacuolar protein sorting-associated protein 4A	VPS4A;DKFZp434E0418	26.0712	26.23612	25.71091	26.6071	26.80132	26.7406	-0.71026357	1.896592862
A0A024R718;P43490;A0A0C4DFS8;B7Z8W6;Q658Z1;C9JG65;C9JF35	A0A024R718;P43490;A0A0C4DFS8	Nicotinamide phosphoribosyltransferase	PBEF1;NAMPT	28.75404	29.03811	28.63041	28.48289	28.65503	29.04143	0.081072489	0.147474185
A0A024R732;Q13425;H0YCS0;A0A140TA73;A0A0G2JM75;J3KT21;H7BY41	A0A024R732;Q13425	Beta-2-syntrophin	SNTB2	24.65267	24.23717	24.19738	25.85358	25.89537	25.73782	-1.466512044	3.178876719
A0A024R739;Q9NUX5;A8MTK3;B7Z7M5;Q5MJ34;Q5MJ32;Q5MJ35;H7C4C7;H7C0Z6;Q5MJ33;V9GZ00;V9GY10;C9JPG9;V9GZ21	A0A024R739;Q9NUX5;A8MTK3;B7Z7M5;Q5MJ34;Q5MJ32	Protection of telomeres protein 1	POT1	25.68456	25.62363	25.57693	25.76742	25.69078	25.27338	0.051182429	0.119050056
A0A024R753;Q9NW13;B4DJ90;C9JAA9;C9JE21;A0A0S2Z5E5;H7C5G8	A0A024R753;Q9NW13	RNA-binding protein 28	RBM28	30.55005	30.36828	30.59406	29.94629	29.57205	28.98655	1.002498627	1.597766418
A0A024R770;A0A024R774;Q16656;C9JP85	A0A024R770;A0A024R774;Q16656	Nuclear respiratory factor 1	NRF1	24.51953	25.12392	24.99835	23.76547	21.83162	21.74519	2.433172862	1.624829085
A0A024R776;A0A024R785;A0A024R781;O95628;B3KQ99	A0A024R776;A0A024R785;A0A024R781;O95628	CCR4-NOT transcription complex subunit 4	CNOT4	22.51677	21.22623	22.34557	23.94637	24.18397	23.77294	-1.938235601	1.996908636
A0A024R7A8;P15121;Q59EL5;E9PCX2;E9PEF9;A4D1P0;C9JRZ8	A0A024R7A8;P15121;Q59EL5;E9PCX2	Aldose reductase	AKR1B1	27.22995	27.60428	27.36077	29.14217	29.45181	29.48449	-1.961158117	3.651969322
A0A024R7B7;Q16543;Q6FG59;K7EQA9;K7EKQ2;K7EL68;A1L0W4;K7EIU0	A0A024R7B7;Q16543;Q6FG59;K7EQA9;K7EKQ2;K7EL68	"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed"	CDC37	29.1346	29.03092	29.05266	28.81812	29.25138	29.05251	0.032058716	0.088229972
A0A024R7C0;Q14145;K7ESE0;K7EJ49;K7EJD8;K7EQX2;K7EPZ3	A0A024R7C0;Q14145;K7ESE0	Kelch-like ECH-associated protein 1	KEAP1	21.63253	22.72485	24.26098	25.97053	26.39193	25.97712	-3.240410487	1.856821711
A0A024R7E0;Q96RE7;K7ELC5;K7ENW4	A0A024R7E0;Q96RE7	Nucleus accumbens-associated protein 1	BTBD14B;NACC1	29.65407	29.41189	29.47392	29.25687	29.01161	28.8246	0.482266744	1.537087868
A0A024R7E3;P26358;Q59FP7;B3KVA0;K7ENW7;K7EJL0;K7EMU8;K7ENQ6;K7EIZ6;K7ERQ1;K7EP77	A0A024R7E3;P26358;Q59FP7	DNA (cytosine-5)-methyltransferase;DNA (cytosine-5)-methyltransferase 1	DNMT1	29.61284	29.64372	29.70879	30.62567	30.51173	30.32582	-0.832621257	3.085797565
A0A024R7F1;K7ELL7;B4DJQ5;P14314;A0A0S2Z4D8;A0A0S2Z4W7;A2VCQ4;A0A0S2Z4A0;K7EPW7;A0A0C4DGP4;K7EKX1;K7EJ70	A0A024R7F1;K7ELL7;B4DJQ5;P14314;A0A0S2Z4D8;A0A0S2Z4W7;A2VCQ4;A0A0S2Z4A0	Glucosidase 2 subunit beta	PRKCSH	24.99856	25.46073	25.46017	25.85481	25.86992	25.94753	-0.584267298	1.692756664
A0A024R7I3;P61006;H0YMN7;H0YLJ8;H0YL94;B3KTE3;Q59EP4;M0R257;Q96E17	A0A024R7I3;P61006	Ras-related protein Rab-8A	RAB8A	23.21844	23.90445	24.19227	24.19596	23.9686	24.79531	-0.548236847	0.652968269
A0A024R7J0;P17612;A8K8B9;Q15136;K7ERP6;K7ENJ5;B7Z708	A0A024R7J0;P17612;A8K8B9;Q15136	cAMP-dependent protein kinase catalytic subunit alpha	PRKACA;KIN27	22.81371	22.85255	21.91216	24.33231	24.54185	23.52277	-1.606170654	1.672053437
A0A024R7J7;Q9BW61	A0A024R7J7;Q9BW61	DET1- and DDB1-associated protein 1	DDA1	24.53807	24.40536	24.42892	24.71298	24.34048	24.18865	0.043410619	0.096460072
A0A024R7K7;A0A024R7M6;Q86YP4;B4DKZ7;B4E0Q6;C9JGN4;C9JHD7;C9JJK9;C9JVY3;V9GY85;H7C3H1;C9JMI3;V9GYX5	A0A024R7K7;A0A024R7M6;Q86YP4;B4DKZ7	Transcriptional repressor p66-alpha	GATAD2A	29.48848	29.44916	29.55335	29.60267	29.39071	29.23556	0.087349574	0.324201028
A0A024R7L5;A0A024R7L8;Q92900;B3KY55;A0A059XBJ1;A0A059XAJ5;A0A059XAL2;A0A059XG67;A0A059X4U2;Q6ZUC8;A0A059XG73;A0A059XBJ6;A0A059XAM1;A0A059XAL6	A0A024R7L5;A0A024R7L8;Q92900	Regulator of nonsense transcripts 1	UPF1	28.51183	28.64107	28.47653	29.47985	29.80721	29.84071	-1.166115443	3.126987948
A0A024R7N2;Q9HD20;A0A024R7P3;Q8NC73;H7C3H2;Q6ZUA1;Q8TEG5	A0A024R7N2;Q9HD20;A0A024R7P3	Manganese-transporting ATPase 13A1	ATP13A1	26.22668	26.45969	26.22393	25.93504	26.10655	26.13977	0.242977778	1.135396045
A0A024R7N6;O00459;Q05BV6;E9PFP1;Q96CK7;Q96EV4	A0A024R7N6;O00459;Q05BV6;E9PFP1	Phosphatidylinositol 3-kinase regulatory subunit beta	PIK3R2	22.02059	22.3577	22.75216	23.44253	23.68998	23.888	-1.296686172	2.197149465
A0A024R7R0;Q96RL1;A0A024R7S2;D6RC40;D6RCQ3;Q9NTC5	A0A024R7R0;Q96RL1;A0A024R7S2	BRCA1-A complex subunit RAP80	RAP80;UIMC1	27.41329	27.09497	27.28639	27.19056	26.8259	26.82723	0.316983541	0.973360535
A0A024R7S3;P09497;D6RJD1;H0Y9Q6	A0A024R7S3;P09497;D6RJD1	Clathrin light chain B	CLTB	24.31686	21.95624	21.98466	24.59007	24.79615	25.05986	-2.062772115	1.220699769
A0A024R7T3;P52597;B4DKS8;A0A1B0GW42	A0A024R7T3;P52597;B4DKS8	"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed"	HNRPF;HNRNPF	33.62135	33.42004	33.56785	32.63498	32.5306	32.46322	0.993481954	3.654624853
A0A024R7T4;P17026	A0A024R7T4;P17026	Zinc finger protein 22	ZNF22	25.19039	24.84	25.13653	26.56856	26.05219	25.81296	-1.088930766	1.928160628
A0A024R7V6;P61019;E9PKL7;A0A0A1HAW1;H7C125;E9PE37;O75546;H0YD31;Q9UL31;H0YDL5;Q6PIK3;A0A023HJ61	A0A024R7V6;P61019;E9PKL7;A0A0A1HAW1	Ras-related protein Rab-2A	RAB2;RAB2A	25.76423	26.08103	25.82369	26.32521	26.61555	26.85698	-0.709591548	1.756414753
A0A024R7W9;Q92905;Q59GH5;E5RHH5;E5RHF2;E5RFS1;E5RG35;E5RK55;H0UI27	A0A024R7W9;Q92905;Q59GH5;E5RHH5	COP9 signalosome complex subunit 5	COPS5	26.47203	27.03528	26.97005	26.76471	26.9662	27.35993	-0.204495112	0.338889367
A0A024R7X0;Q9Y6D6;Q59FY5;E5RIF2;E5RHL7;B3KMS9;E5RHZ1;E5RJN9	A0A024R7X0;Q9Y6D6;Q59FY5;E5RIF2	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	ARFGEF1	27.01393	26.81078	26.72559	27.06394	27.61807	27.33892	-0.490207036	1.267954163
A0A024R7X1;P54274;A0A024R7X2;A8K914;E7EWM7;E5RFJ5;Q5QGN5	A0A024R7X1;P54274;A0A024R7X2;A8K914;E7EWM7	Telomeric repeat-binding factor 1	TERF1	27.64561	27.30295	27.53557	27.99949	27.56529	27.3841	-0.154915492	0.301851333
A0A024R7X3;A0A024R7U9;Q9UI12;G3V126;B4E054;B3KUZ7;Q8TF11;H0YB41;E5RG49;E5RHH0;E5RK31;E5RJG1;A0A0D9SG68	A0A024R7X3;A0A024R7U9;Q9UI12;G3V126;B4E054;B3KUZ7;Q8TF11	V-type proton ATPase subunit H	ATP6V1H	25.48812	25.40266	25.27181	25.23994	25.58262	25.86931	-0.176429113	0.385914459
A0A024R7Z5;O00560;B4DHN5;E9PBU7;B4DQ93	A0A024R7Z5;O00560;B4DHN5;E9PBU7;B4DQ93	Syntenin-1	SDCBP	22.90381	23.18806	22.11701	24.66655	25.01627	24.88441	-2.119452794	2.490051723
A0A024R811;Q53H82	A0A024R811;Q53H82	Beta-lactamase-like protein 2	LACTB2	25.53178	25.96651	25.45278	25.16928	25.08468	25.62458	0.357504527	0.704475215
A0A024R819;A0A024R858;P36639	A0A024R819;A0A024R858;P36639	"7,8-dihydro-8-oxoguanine triphosphatase"	NUDT1	25.18552	23.90839	24.90784	25.36546	25.36282	25.16404	-0.630191167	0.733950605
A0A024R821;P55884;A4D210;B4DV79;B4DXN6;Q96G38;Q86UM1;C9JZG1;C9JQN7;Q59FS8	A0A024R821;P55884;A4D210;B4DV79;B4DXN6;Q96G38;Q86UM1	Eukaryotic translation initiation factor 3 subunit B	EIF3S9;EIF3B	28.37613	28.40389	28.17812	29.47943	30.09836	30.46529	-1.694978078	2.335102444
A0A024R829;Q9NRF9	A0A024R829;Q9NRF9	DNA polymerase epsilon subunit 3	POLE3	24.69503	25.39257	25.23546	25.10937	24.96283	26.23281	-0.327314377	0.292203268
A0A024R830;A0A140VJL8;P29218;H0YBL1;E5RG94;E5RHE9;E5RG13;E5RI82;E5RIP7;E5RGY4;E5RIF4	A0A024R830;A0A140VJL8;P29218;H0YBL1	Inositol monophosphatase 1	IMPA1	21.0034	21.99932	22.39413	23.91452	23.41635	24.308	-2.080673854	1.886690632
A0A024R838;Q8N0T1;A0A087WWE7;E5RGR5	A0A024R838;Q8N0T1;A0A087WWE7	Uncharacterized protein C8orf59	hCG_20884;C8orf59	23.81284	23.73583	24.09192	23.75256	23.42445	23.1012	0.454128901	0.981198202
A0A024R856;H9KVB4;O15417;H7C0N9;H7C3U5	A0A024R856;H9KVB4;O15417	Trinucleotide repeat-containing gene 18 protein	hCG_96198;TNRC18	26.60696	25.96796	26.65731	20.8893	22.7731	22.11237	4.485820134	2.781119643
A0A024R857;B4DH63;Q96ME1;B3KTC9;H0Y6I6	A0A024R857;B4DH63;Q96ME1;B3KTC9;H0Y6I6	F-box/LRR-repeat protein 18	FBXL18	22.67295	22.40592	21.40626	26.13171	25.99062	26.44202	-4.026412328	3.228390957
A0A024R861;O00743;B7Z3E2;A0A0S2Z482;Q5T1S7	A0A024R861;O00743	"Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed"	PPP6C	25.16883	25.28419	24.96882	25.72944	25.97649	26.0684	-0.784163157	2.337813204
A0A024R862;A0A024R8A2;Q14C86;A0A024R875;F8W9S7;B3KN67;C9IZ08;B4DK42;B4DGD8;B3KTX2;B0QZ65;H0Y7I9;A0A0A0MQV8;H0Y4E7;B3KMM3;C9IZX9	A0A024R862;A0A024R8A2;Q14C86;A0A024R875;F8W9S7;B3KN67;C9IZ08;B4DK42	GTPase-activating protein and VPS9 domain-containing protein 1	GAPVD1	25.20691	25.44985	25.44307	25.78551	26.11321	26.24931	-0.682733536	1.894692397
A0A024R870;Q6UWE0	A0A024R870;Q6UWE0	E3 ubiquitin-protein ligase LRSAM1	LRSAM1	23.29754	23.03376	22.31479	25.0831	24.97246	24.41725	-1.94224294	2.248894144
A0A024R872;Q96TA1;Q9H8K1;Q2YD88	A0A024R872;Q96TA1	Niban-like protein 1	C9orf88;FAM129B	20.86112	23.84919	22.46376	24.87267	24.95713	25.63592	-2.763881683	1.433855579
A0A024R883;O75348;F2Z307;O95670	A0A024R883;O75348;F2Z307;O95670	V-type proton ATPase subunit G 1;V-type proton ATPase subunit G 2	ATP6V1G1;ATP6V1G2-DDX39B;ATP6V1G2	22.97058	23.84498	22.97181	23.19499	23.27099	23.80292	-0.160507202	0.174588226
A0A024R889;A0A0D9SFF6;A0A1B0GV13;A0A0D9SFH4;A0A1B0GTB7;A0A1B0GUH3	A0A024R889		SPTAN1	25.85205	25.70155	22.89133	26.54035	27.07582	27.00045	-2.057229996	0.986936003
A0A024R892;Q8IWT6;A8K1C7;Q96SW8;Q9NW37;Q8TDW0	A0A024R892;Q8IWT6;A8K1C7;Q96SW8	Volume-regulated anion channel subunit LRRC8A	LRRC8A	22.16494	21.42497	20.7428	24.54534	24.84981	25.10274	-3.388389587	2.811087855
A0A024R896;B7ZC38;Q9NR46;B7ZC39;F8WFB9;Q71RA6;G5E9J1;H7C1Z6	A0A024R896;B7ZC38;Q9NR46;B7ZC39;F8WFB9	Endophilin-B2	SH3GLB2	21.72313	22.32713	23.39672	24.98789	25.86195	25.44654	-2.949801127	2.232411314
A0A024R897;B3KPC7;Q9BPX5	A0A024R897;B3KPC7;Q9BPX5	Actin-related protein 2/3 complex subunit 5;Actin-related protein 2/3 complex subunit 5-like protein	ARPC5L	23.52373	22.47506	23.40587	24.77821	23.66807	25.24981	-1.430477142	1.171178667
A0A024R8A0;Q7Z6M1;Q5T1S5;A0A0S2Z4Z5;Q5T1S4;A0A0S2Z4Z1	A0A024R8A0;Q7Z6M1;Q5T1S5;A0A0S2Z4Z5;Q5T1S4;A0A0S2Z4Z1	Rab9 effector protein with kelch motifs	RABEPK	23.07599	23.62489	21.44965	23.09036	23.34516	23.03604	-0.440345764	0.266656316
A0A024R8A7;Q96I24	A0A024R8A7;Q96I24	Far upstream element-binding protein 3	hCG_31253;FUBP3	30.51267	30.30867	30.53204	30.65855	30.50805	30.50824	-0.10715421	0.542301896
A0A024R8B7;Q6P2C8;B4DPP5;U4Q365	A0A024R8B7;Q6P2C8;B4DPP5	Mediator of RNA polymerase II transcription subunit 27	CRSP8;MED27	26.34259	26.24978	26.32055	25.88185	25.78848	25.90825	0.444777807	3.198560147
A0A024R8C8;Q9NVG8;A0A024R8B1;Q59F95;B4DHM6;B3KNG3	A0A024R8C8;Q9NVG8;A0A024R8B1;Q59F95	TBC1 domain family member 13	TBC1D13	23.21687	23.57277	23.20263	21.47927	23.47023	23.45262	0.53004837	0.324029373
A0A024R8D2;Q6P1M0;B3KNH1;Q9BTA1;B3KQE8	A0A024R8D2;Q6P1M0;B3KNH1	Long-chain fatty acid transport protein 4	SLC27A4	24.18873	24.07194	24.038	24.33274	22.23673	22.85102	0.959392548	0.701454051
A0A024R8E4;Q9BV86;S4R338;S4R3J7;S4R344	A0A024R8E4;Q9BV86	"N-terminal Xaa-Pro-Lys N-methyltransferase 1;N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed"	C9orf32;NTMT1	26.72195	26.5182	26.65813	26.576	26.75353	26.48407	0.028223674	0.102102137
A0A024R8H6;Q15059;A0A140F1N4;B4DS09;A9J571	A0A024R8H6;Q15059;A0A140F1N4;B4DS09	Bromodomain-containing protein 3	BRD3	29.33033	29.16961	29.27491	29.4347	29.41712	28.96315	-0.013367335	0.027814391
A0A024R8I0;Q96BF6	A0A024R8I0;Q96BF6	Nucleus accumbens-associated protein 2	BTBD14A;NACC2	23.35877	23.11038	24.37511	21.66019	22.86217	22.32106	1.333613078	1.205139663
A0A024R8K0;Q86W34;J3KTM1;J3KRD0;J3KSH1;J3KS38;J3KRS2;J3QLK6	A0A024R8K0;Q86W34;J3KTM1;J3KRD0	Archaemetzincin-2	AMZ2	23.88045	23.84508	23.72869	24.05805	23.73603	23.96842	-0.102763494	0.410500587
A0A024R8K8;P42694;A0A075B6R3;Q6PGP6;J3KT20;J3QRR8;J3KS59	A0A024R8K8;P42694	Probable helicase with zinc finger domain	HELZ	23.01739	20.76617	22.61827	26.43592	26.92592	27.16682	-4.708944956	2.535449917
A0A024R8P8;P63173;J3KT73;J3QL01;J3KSP2	A0A024R8P8;P63173;J3KT73;J3QL01	60S ribosomal protein L38	RPL38	28.33726	28.55578	28.07444	28.21863	28.73305	28.64657	-0.210257212	0.424757213
A0A024R8R0;J3QQJ0;Q9UHR5;X6R3T8;J3QLH3;F5H478;B7Z4X9;J3KRU5;J3KS14;J3KRR6;J3QLM2;Q659G6	A0A024R8R0;J3QQJ0;Q9UHR5;X6R3T8;J3QLH3;F5H478;B7Z4X9;J3KRU5	SAP30-binding protein	SAP30BP	28.55006	28.58409	28.51269	27.62338	27.71516	27.72917	0.859714508	4.598333153
A0A024R8R4;Q8TAT6;B4DG89;I3L283;I3L3I1;I3L281;A0A0D9SFI9;I3L4U9	A0A024R8R4;Q8TAT6;B4DG89	Nuclear protein localization protein 4 homolog	NPLOC4	28.53081	28.55149	28.52272	28.23018	28.40864	28.41066	0.185180664	1.425857908
A0A024R8S3;P61956;Q6EEV6	A0A024R8S3;P61956	Small ubiquitin-related modifier;Small ubiquitin-related modifier 2	SUMO2	29.732	29.08801	29.15383	30.29417	29.9474	29.64471	-0.637483597	1.079570393
A0A024R8V0;A0A0S2Z5A5;A0A024R8Q0;A0A0S2Z5W9;Q1WWK5;K7EL40;K7EK18;K7ENL0;K7ER52;K7EQD7;K7EIE4;K7EPY1;K7EJ51;K7EJV0;K7ELJ9;K7ER14;K7EJZ2;K7EJL9;K7ENQ5;K7EN52;K7EKN4;K7EIR4;A2VCQ5;K7ER34;K7EQ08;K7ERG1	A0A024R8V0;A0A0S2Z5A5;A0A024R8Q0;A0A0S2Z5W9		Sep-09	27.09798	26.8742	26.65335	28.99706	29.41856	29.63884	-2.476312002	3.390478901
A0A024R8W0;P38919;I3L3H2;Q59GT8;Q5JWW0;J3QQP0;E9PBH4;F8WE11;C9JUF0	A0A024R8W0;P38919	"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed"	DDX48;EIF4A3	33.25603	33.22906	33.30484	32.7662	32.61652	32.64487	0.58744812	3.489620639
A0A024R8Y0;Q9BZD4;E9PQC4;B1AQT4;E9PP32;E9PKH1;B1AQT3	A0A024R8Y0;Q9BZD4;E9PQC4;B1AQT4;E9PP32	Kinetochore protein Nuf2	CDCA1;NUF2	23.7966	24.47178	24.10326	26.27581	26.71999	25.80565	-2.143274307	2.546113274
A0A024R8Z7;Q9Y5B8;B4DXC8;E9PNU1;Q59GR0	A0A024R8Z7;Q9Y5B8;B4DXC8;E9PNU1;Q59GR0	Nucleoside diphosphate kinase 7	NME7	22.85898	21.94416	20.29148	24.71722	24.6015	24.57589	-2.933329264	1.755120087
A0A024R904;Q9HB71;Q6NVY0;B4DFD3;B2ZWH1	A0A024R904;Q9HB71;Q6NVY0	Calcyclin-binding protein	CACYBP	30.03591	30.40649	30.0961	30.32152	30.77117	30.75589	-0.436695099	1.098977922
A0A024R911;Q9UBH6	A0A024R911;Q9UBH6	Xenotropic and polytropic retrovirus receptor 1	XPR1	21.20742	22.62849	22.8885	26.06573	26.05393	25.94889	-3.7813797	2.709511441
A0A024R914;Q5VT06;H0Y7F7;Q7LGH1;H0Y6Q4;Q5T2X4;Q05D72	A0A024R914;Q5VT06;H0Y7F7;Q7LGH1	Centrosome-associated protein 350	CEP350;KIAA0480	22.6778	23.28419	21.04427	23.62333	23.7318	22.46625	-0.938374201	0.528229758
A0A024R915;B2RAA8;Q9BR61	A0A024R915;B2RAA8;Q9BR61	Acyl-CoA-binding domain-containing protein 6	ACBD6	22.28543	21.84243	23.28667	23.83836	23.83355	23.89217	-1.383185069	1.497184412
A0A024R922;Q9NSG2;B4DGF2;B3KXC4;B4DRP7;A0A1B0GUP7;A0A1B0GV14;B4E0A9	A0A024R922;Q9NSG2;B4DGF2	Uncharacterized protein C1orf112	C1orf112	24.84436	23.99628	23.92515	22.87625	23.85386	23.85833	0.725785573	0.757919218
A0A024R932;Q8N0S6	A0A024R932;Q8N0S6	Centromere protein L	C1orf155;CENPL	23.3864	23.56686	23.26971	21.85755	22.44856	22.93902	0.99260966	1.424180458
A0A024R972;P11047;Q6NVY8;Q8N2D6;Q9Y6N6	A0A024R972;P11047	Laminin subunit gamma-1	LAMC1	26.64595	26.50092	26.64842	25.18926	25.54469	25.87068	1.063557943	2.199788098
A0A024R974;P78545;Q5SR36;Q9NZC4	A0A024R974;P78545	ETS-related transcription factor Elf-3	ELF3	27.22518	27.02675	27.24427	22.61851	23.01764	22.53036	4.443230947	4.944021593
A0A024R983;P10155;B3KN94;G5E9R9;D6RE09;H0Y9N5;D6RDN1	A0A024R983;P10155;B3KN94	60 kDa SS-A/Ro ribonucleoprotein	TROVE2	25.98422	24.86505	24.73825	27.72546	28.15103	27.97252	-2.753827413	2.573748929
A0A024R994;O75131;Q05DL8;A0A087WYQ3;E5RHZ0;H0YB26;A0A087WXR6;A0A087WUS8;E5RFT7;Q4G168;B3KWK1;B7Z370;Q96A23;O95741;Q9HCH3;Q9UBL6	A0A024R994;O75131;Q05DL8;A0A087WYQ3	Copine-3	CPNE3	28.22757	28.35741	28.21006	28.74666	28.73159	28.58452	-0.42257754	2.431300454
A0A024R996;A0A024R980;Q07002;B4DER5;Q59G02;B4DK03;B4DHU6;Q9BWF9;A0A0A0MSJ6;D6RA44;B3KX76;D6R9B0;Q8IWB3;D6RGH0;D6R9X1	A0A024R996;A0A024R980;Q07002;B4DER5;Q59G02;B4DK03;B4DHU6;Q9BWF9;A0A0A0MSJ6	Cyclin-dependent kinase 18	PCTK3;CDK18	22.72128	21.03969	23.1155	24.10869	24.31133	23.99127	-1.844938914	1.341344895
A0A024R9A9;Q9NPD8	A0A024R9A9;Q9NPD8	Ubiquitin-conjugating enzyme E2 T	UBE2T	26.04433	25.87811	25.98531	24.7083	24.84216	24.86406	1.164412181	4.145396384
A0A024R9B5;Q15291;B4DMM7;B4DLF8	A0A024R9B5;Q15291;B4DMM7;B4DLF8	Retinoblastoma-binding protein 5	RBBP5	27.92315	28.04916	27.99053	27.48039	27.2166	27.57347	0.564125061	2.124368147
A0A024R9D2;Q86UE4;E5RJU9;H0YBJ8;H0YB56	A0A024R9D2;Q86UE4;E5RJU9	Protein LYRIC	MTDH	24.2214	23.65971	22.46235	26.2546	27.20424	27.28268	-3.46602122	2.311705769
A0A024R9D9;Q9NPA8;J3KNT2;E5RI00;E5RHT9;E5RJ84;E5RHX8	A0A024R9D9;Q9NPA8;J3KNT2;E5RI00;E5RHT9;E5RJ84;E5RHX8	Transcription and mRNA export factor ENY2	ENY2	26.35153	26.87162	26.65417	25.72341	25.49488	26.37923	0.759933472	1.17176601
A0A024R9G4;Q9NUQ9;Q68D08;A0A1W2PRQ0;E5RI16;A0A087X178;Q3ZTR9;E5RJL8;E5RJE1;E5RIR8;E5RGI7;E5RK61;E5RFS4;E5RHU5	A0A024R9G4;Q9NUQ9;Q68D08;A0A1W2PRQ0	Protein FAM49B	FAM49B;DKFZp686B04128	24.68008	24.43721	23.23506	26.43536	25.69586	27.09969	-2.292851766	1.719108553
